type,room_type,area_m2,price,external_features,interior_features,location_features
Çiftlik Evi,5 + 2,580.0,2750000.0,"['Bahçeli', ' Otopark - Açık', ' PVC Doğrama', ' Su deposu']","['Ahşap Doğrama', ' Ankastre Mutfak', ' Balkon', ' Çamaşır Odası', ' Duşakabin', ' Duvar Kağıdı', ' Giyinme Odası', ' Gömme Dolap', ' Hazır Mutfak', ' Kartonpiyer', ' Panjur', ' Parke', ' Parke - Lamine', ' Seramik Zemin', ' Spot Işık', ' Teras', ' Vestiyer']","['Caddeye yakın', ' Manzara - Doğa', ' Otobana yakın', ' Ön cephe']"
Daire,3 + 1,120.0,1275000.0,"['Asansör', ' Isı Yalıtım', ' Oyun Parkı', ' Su deposu']","['ADSL', ' Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Beyaz Eşyalı', ' Çelik Kapı', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Vestiyer']","['Cadde Üzerinde', ' Caddeye yakın', ' Ön cephe']"
Daire,3 + 1,130.0,1375000.0,"['Asansör', ' Kapıcı']","['Balkon', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Vestiyer']","['Cadde Üzerinde', ' Manzara - Doğa']"
Villa,4 + 1,350.0,2950000.0,"['Bahçeli', ' Güvenlik', ' Isı Yalıtım', ' Otopark - Açık', ' Oyun Parkı', ' PVC Doğrama', ' Site içerisinde']","['Balkon', ' Barbekü', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Isıcam', ' Laminant Mutfak', ' Mermer Zemin', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Parke - Laminant', ' Parke - Lamine', ' Sauna', ' Seramik Zemin', ' Şömine', ' Teras']","['Havaalanına yakın', ' Manzara', ' Manzara - Doğa', ' Minibüs / Dolmuşa yakın', ' Ön cephe', ' Toplu Ulaşıma yakın']"
Daire,3 + 1,145.0,2350000.0,"['Hidrofor', ' Kapıcı']","['Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Balkon', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Görüntülü Diafon', ' Isıcam', ' Kablo TV-Uydu', ' Kartonpiyer', ' Laminant Mutfak', ' Mutfak Doğalgazı', ' Spot Işık', ' Vestiyer']","['Cadde Üzerinde', ' Havaalanına yakın', ' Manzara - Doğa', ' Manzara - Şehir']"
Villa,5 + 1,350.0,11750000.0,"['Ahşap Doğrama', ' Bahçeli', ' Güvenlik', ' Isı Yalıtım', ' Kapıcı', ' Otopark - Açık', ' Otopark - Kapalı', ' Oyun Parkı', ' PVC Doğrama', ' Su deposu']","['Ahşap Doğrama', ' Alarm', ' Balkon', ' Barbekü', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Ebeveyn Banyolu', ' Gömme Dolap', ' Hazır Mutfak', ' Kapalı Balkon', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Saten Alçı', ' Saten Boya', ' Seramik Zemin', ' Şömine']","['Caddeye yakın', ' Havaalanına yakın', ' Manzara', ' Manzara - Doğa', ' Manzara - Şehir', ' Merkezde', ' Minibüs / Dolmuşa yakın', ' Otobana yakın', ' Ön cephe', ' Toplu Ulaşıma yakın']"
Daire,3 + 1,130.0,1250000.0,"['Asansör', ' Hidrofor', ' Jeneratör', ' Kapıcı', ' PVC Doğrama', ' Siding', ' Su deposu', ' Yangın Merdiveni', ' Yüzme Havuzu']","['ADSL', ' Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Balkon', ' Barbekü', ' Beyaz Eşyalı', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Gömme Dolap', ' Görüntülü Diafon', ' Hilton Banyo', ' Isıcam', ' Jakuzi', ' Kablo TV-Uydu', ' Kartonpiyer', ' Klima', ' Laminant Mutfak', ' Marley', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Sauna', ' Seramik Zemin', ' Spot Işık', ' Şömine', ' Teras', ' Vestiyer']","['Cadde Üzerinde', ' Deniz Ulaşımına yakın', ' Denize sıfır', ' Denize yakın', ' ""E-5e yakın""', ' Havaalanına yakın', ' Manzara - Boğaz', ' Manzara - Deniz', ' Manzara - Doğa', ' Manzara - Göl', ' Manzara - Şehir', ' Marmaraya yakın', ' Metrobüse yakın', ' Metroya yakın', ' ""TEMe yakın""', ' Tramvaya yakın']"
Daire,3 + 1,120.0,1150000.0,"['Asansör', ' Bahçeli', ' Hidrofor', ' Jeneratör', ' Kapıcı', ' PVC Doğrama', ' Siding', ' Su deposu', ' Yangın Merdiveni', ' Yüzme Havuzu']","['ADSL', ' Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Balkon', ' Barbekü', ' Beyaz Eşyalı', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Gömme Dolap', ' Görüntülü Diafon', ' Hilton Banyo', ' Isıcam', ' Jakuzi', ' Kablo TV-Uydu', ' Kartonpiyer', ' Klima', ' Laminant Mutfak', ' Marley', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Sauna', ' Seramik Zemin', ' Spot Işık', ' Şömine', ' Teras', ' Vestiyer']","['Cadde Üzerinde', ' Deniz Ulaşımına yakın', ' Denize sıfır', ' Denize yakın', ' ""E-5e yakın""', ' Havaalanına yakın', ' Manzara - Boğaz', ' Manzara - Deniz', ' Manzara - Doğa', ' Manzara - Göl', ' Manzara - Şehir', ' Marmaraya yakın', ' Metrobüse yakın', ' ""TEMe yakın""', ' Tramvaya yakın']"
Daire,1 + 1,38.0,1250000.0,"['Su deposu', ' Yüzme Havuzu']","['ADSL', ' Alarm', ' Balkon', ' Çelik Kapı', ' Duşakabin', ' Hilton Banyo', ' Klima', ' Mutfak Doğalgazı', ' Parke', ' Sauna']","['Cadde Üzerinde', ' Havaalanına yakın', ' Manzara - Doğa', ' Manzara - Şehir']"
Villa,4 + 1,350.0,2950000.0,"['Bahçeli', ' Güvenlik', ' Isı Yalıtım', ' Kapıcı', ' Otopark - Açık', ' Oyun Parkı', ' PVC Doğrama', ' Site içerisinde', ' Su deposu']","['Ankastre Mutfak', ' Balkon', ' Barbekü', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Gömme Dolap', ' Hazır Mutfak', ' Hilton Banyo', ' Isıcam', ' Kablo TV-Uydu', ' Kartonpiyer', ' Klima', ' Laminant Mutfak', ' Marley', ' Mutfak Doğalgazı', ' Panjur', ' Parke', ' Parke - Laminant', ' Parke - Lamine', ' Saten Alçı', ' Saten Boya', ' Sauna', ' Seramik Zemin', ' Şömine', ' Teras', ' Vestiyer']","['Caddeye yakın', ' Havaalanına yakın', ' Manzara', ' Manzara - Doğa', ' Merkezde', ' Minibüs / Dolmuşa yakın', ' Otobana yakın', ' Ön cephe']"
