make,doors,engine_size,power_hp,gears,cylinders,first_registration,body_type
Mercedes-Benz,5.0,,,,,2016,Compact
Mercedes-Benz,4.0,1.0,292.0,9.0,,2022,Compact
Mercedes-Benz,5.0,1991.0,421.0,8.0,4.0,2020,Compact
Mercedes-Benz,5.0,1991.0,306.0,7.0,4.0,2020,Compact
Mercedes-Benz,5.0,2143.0,136.0,7.0,4.0,2015,Compact
Mercedes-Benz,3.0,1799.0,122.0,6.0,4.0,2005,Compact
Mercedes-Benz,5.0,,,,,2018,Compact
Mercedes-Benz,5.0,1991.0,190.0,7.0,4.0,2019,Compact
Mercedes-Benz,5.0,1991.0,306.0,,,2019,Compact
Mercedes-Benz,5.0,1991.0,139.0,1.0,4.0,2018,Compact
Mercedes-Benz,5.0,1461.0,90.0,5.0,4.0,2015,Compact
Mercedes-Benz,5.0,1991.0,381.0,7.0,4.0,2016,Compact
Mercedes-Benz,5.0,1991.0,211.0,7.0,4.0,2013,Compact
Mercedes-Benz,5.0,1461.0,116.0,6.0,4.0,2020,Compact
Mercedes-Benz,5.0,2143.0,136.0,7.0,4.0,2016,Compact
Mercedes-Benz,4.0,1991.0,109.0,,,2010,Compact
Mercedes-Benz,4.0,1332.0,160.0,,,2021,Compact
Mercedes-Benz,5.0,1991.0,306.0,7.0,4.0,2019,Compact
Mercedes-Benz,5.0,1461.0,116.0,7.0,4.0,2020,Compact
Mercedes-Benz,5.0,1991.0,381.0,7.0,4.0,2016,Compact
Mercedes-Benz,5.0,1461.0,109.0,7.0,4.0,2018,Compact
Mercedes-Benz,4.0,1461.0,116.0,7.0,4.0,2020,Compact
Mercedes-Benz,5.0,1332.0,136.0,6.0,4.0,2021,Compact
Mercedes-Benz,5.0,1332.0,163.0,,,2019,Compact
Mercedes-Benz,5.0,1950.0,194.0,9.0,,2021,Compact
Mercedes-Benz,5.0,1461.0,109.0,7.0,4.0,2018,Compact
Mercedes-Benz,5.0,1991.0,421.0,8.0,4.0,2021,Compact
Mercedes-Benz,5.0,1461.0,90.0,,,2014,Compact
Mercedes-Benz,5.0,1991.0,360.0,7.0,4.0,2014,Compact
Mercedes-Benz,4.0,2035.0,136.0,,,2005,Compact
Mercedes-Benz,4.0,1332.0,163.0,,,2020,Compact
Mercedes-Benz,5.0,1332.0,136.0,,,2020,Compact
Mercedes-Benz,5.0,1332.0,218.0,8.0,4.0,2021,Compact
Mercedes-Benz,4.0,2143.0,170.0,,,2016,Compact
Mercedes-Benz,5.0,1595.0,122.0,7.0,4.0,2017,Compact
Mercedes-Benz,5.0,1332.0,136.0,6.0,4.0,2020,Compact
Mercedes-Benz,5.0,1461.0,116.0,7.0,4.0,2018,Compact
Mercedes-Benz,5.0,1950.0,150.0,8.0,,2019,Compact
Mercedes-Benz,4.0,1332.0,136.0,7.0,4.0,2019,Compact
Mercedes-Benz,5.0,1461.0,109.0,6.0,4.0,2014,Compact
Mercedes-Benz,5.0,1461.0,116.0,,,2019,Compact
Mercedes-Benz,5.0,1332.0,109.0,6.0,,2021,Compact
Mercedes-Benz,5.0,1699.0,116.0,,4.0,2011,Compact
Mercedes-Benz,5.0,1461.0,109.0,7.0,4.0,2018,Compact
Mercedes-Benz,5.0,1991.0,190.0,7.0,4.0,2019,Compact
Mercedes-Benz,5.0,1461.0,116.0,7.0,4.0,2021,Compact
Mercedes-Benz,5.0,1461.0,116.0,7.0,4.0,2019,Compact
Mercedes-Benz,5.0,1461.0,109.0,7.0,4.0,2016,Compact
Mercedes-Benz,5.0,1461.0,109.0,7.0,4.0,2018,Compact
Mercedes-Benz,5.0,1332.0,136.0,7.0,4.0,2020,Compact
Mercedes-Benz,5.0,1796.0,136.0,6.0,4.0,2013,Compact
Mercedes-Benz,5.0,2143.0,136.0,7.0,4.0,2016,Compact
Mercedes-Benz,5.0,1461.0,116.0,,,2019,Compact
Mercedes-Benz,5.0,1461.0,109.0,7.0,4.0,2018,Compact
Mercedes-Benz,4.0,1461.0,116.0,7.0,4.0,2019,Compact
Mercedes-Benz,5.0,1332.0,163.0,,,2018,Compact
Mercedes-Benz,5.0,1461.0,116.0,7.0,4.0,2018,Compact
Mercedes-Benz,5.0,1332.0,136.0,7.0,4.0,2020,Compact
Mercedes-Benz,5.0,1332.0,235.0,8.0,4.0,2020,Compact
Mercedes-Benz,5.0,1332.0,136.0,7.0,4.0,2020,Compact
Mercedes-Benz,5.0,1950.0,150.0,8.0,4.0,2020,Compact
Mercedes-Benz,5.0,1461.0,109.0,7.0,4.0,2018,Compact
Mercedes-Benz,5.0,1332.0,136.0,,,2020,Compact
Mercedes-Benz,4.0,1332.0,163.0,,,2021,Compact
Mercedes-Benz,5.0,2143.0,136.0,7.0,4.0,2016,Compact
Mercedes-Benz,4.0,1498.0,95.0,,,2006,Compact
Mercedes-Benz,5.0,2143.0,136.0,7.0,4.0,2017,Compact
Mercedes-Benz,4.0,1950.0,190.0,,,2021,Compact
Mercedes-Benz,5.0,2143.0,136.0,7.0,4.0,2017,Compact
Mercedes-Benz,4.0,1950.0,150.0,,,2020,Compact
Mercedes-Benz,5.0,,136.0,,,2021,Compact
Mercedes-Benz,4.0,1950.0,150.0,8.0,4.0,2020,Compact
Mercedes-Benz,5.0,1991.0,421.0,,,2020,Compact
Mercedes-Benz,5.0,,163.0,,,2016,Compact
Mercedes-Benz,4.0,1461.0,116.0,7.0,4.0,2019,Compact
Mercedes-Benz,5.0,1595.0,122.0,7.0,4.0,2018,Compact
Mercedes-Benz,5.0,1699.0,116.0,5.0,,2012,Compact
Mercedes-Benz,5.0,1461.0,109.0,7.0,4.0,2018,Compact
Mercedes-Benz,5.0,1498.0,95.0,5.0,4.0,2008,Compact
Mercedes-Benz,5.0,2034.0,136.0,5.0,4.0,2005,Compact
